,Sitzungsnummer,Drucksache_Nummer,Titel,ThemenextraktL,ThemaVD,TitelVD,Occurrences,year,month,day,Occurrences_aktuell
215,230,29749,"Antrag der Abgeordneten Katja Kipping, Susanne Ferschl, Doris Achelwilm, Simone Barrientos, Matthias W. Birkwald, Dr. Birke Bull-Bischoff, Anke Domscheit- Berg, Brigitte Freihold, Sylvia Gabelmann, Nicole Gohlke, Dr. Achim Kessler, Jan Korte, Jutta Krellmann, Pascal Meiser, Cornelia Möhring, Norbert Müller (Potsdam), Sören Pellmann, Dr. Petra Sitte, Jessica Tatti, Harald Weinberg, Katrin Werner, Sabine Zimmermann (Zwickau), Pia Zimmermann und der Fraktion DIE LINKE",Getrenntlebende Eltern im Grundsicherungsbezug entlasten  Umgangsmehrbedarf einführen ,Verkehr | Wirtschaft,Antwort,2.0,2021,5,20,1
216,230,29750,"Antrag der Abgeordneten Matthias W. Birkwald, Matthias Höhn, Dr. Dietmar Bartsch, Jan Korte, Susanne Ferschl, Klaus Ernst, Sylvia Gabelmann, Dr. Achim Kessler, Katja Kipping, Jutta Krellmann, Dr. Gesine Lötzsch, Pascal Meiser, Cornelia Möhring, Sören Pellmann, Jessica Tatti, Harald Weinberg, Sabine Zimmermann (Zwickau), Pia Zimmermann und der Fraktion DIE LINKE",Renteneinheit sofort herstellen  Umrechnung bis 2030 beibehalten ,Inneres | Inneres,Antwort,1.0,2021,5,20,1
219,230,29758,"Antrag der Abgeordneten Karlheinz Busen, Frank Sitta, Dr. Gero Clemens Hocker, Carina Konrad, Nicole Bauer, Dr. Christoph Hoffmann, Grigorios Aggelidis, Renata Alt, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Reinhard Houben, Ulla Ihnen, Gyde Jensen, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Alexander Müller, Dr. Martin Neumann, Matthias Nölke, Bernd Reuther, Dr. Wieland Schinnenburg, Matthias Seestern-Pauly, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Benjamin Strasser, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Nicole Westig und der Fraktion der FDP",Holzverfügbarkeit sicherstellen  Marktbeschränkungen sofort aufheben ,Besteuerungsverfahren,Antwort,3.0,2021,5,20,3
221,230,29759,"Antrag der Abgeordneten Oliver Luksic, Frank Sitta, Bernd Reuther, Daniela Kluckert, Torsten Herbst, Dr. Christopher Gohl, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Reinhard Houben, Ulla Ihnen, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Alexander Müller, Dr. Martin Neumann, Matthias Nölke, Matthias Seestern-Pauly, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Benjamin Strasser, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Nicole Westig und der Fraktion der FDP","Wohnmobile ab 3,5 t im Straßenverkehr  Ungleichbehandlung beheben und deutschlandweit Campingurlaub ermöglichen ",Verkehr | Wirtschaft,Antwort,3.0,2021,5,20,2
212,235,29748,"Antrag der Abgeordneten Dr. Wieland Schinnenburg, Michael Theurer, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Carl-Julius Cronenberg, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Torsten Herbst, Dr. Gero Clemens Hocker, Ulla Ihnen, Olaf in der Beek, Pascal Kober, Carina Konrad, Konstantin Kuhle, Michael Georg Link, Dr. Jürgen Martens, Alexander Müller, Frank Müller- Rosentritt, Dr. Martin Neumann, Matthias Seestern-Pauly, Frank Sitta, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Dr. Marie-Agnes Strack- Zimmermann, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Sandra Weeser, Nicole Westig und der Fraktion der FDP",Befugnisse während Gesundheitsnotlagen auf EU-Ebene demokratisch gestalten ,COVID-19,Antrag,2.0,2021,6,23,2
257,235,29789,"Antrag der Abgeordneten Ottmar von Holtz, Margarete Bause, Dr. Franziska Brantner, Agnieszka Brugger, Kai Gehring, Uwe Kekeritz, Katja Keul, Dr. Tobias Lindner, Omid Nouripour, Cem Özdemir, Claudia Roth (Augsburg), Manuel Sarrazin, Dr. Frithjof Schmidt, Jürgen Trittin, Luise Amtsberg, Anja Hajduk, Britta Haßelmann, Sven-Christian Kindler, Markus Kurth, Filiz Polat, Tabea Rößner, Ulle Schauws, Stefan Schmidt, Margit Stumpp, Wolfgang Wetzel und der Fraktion BÜNDNIS 90/DIE GRÜNEN",Für eine konsequentere Umsetzung der Krisenleitlinien der Bundesregierung ,Rüstungskontrolle,Antrag,2.0,2021,6,23,1
218,235,29758,"Antrag der Abgeordneten Karlheinz Busen, Frank Sitta, Dr. Gero Clemens Hocker, Carina Konrad, Nicole Bauer, Dr. Christoph Hoffmann, Grigorios Aggelidis, Renata Alt, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Reinhard Houben, Ulla Ihnen, Gyde Jensen, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Alexander Müller, Dr. Martin Neumann, Matthias Nölke, Bernd Reuther, Dr. Wieland Schinnenburg, Matthias Seestern-Pauly, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Benjamin Strasser, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Nicole Westig und der Fraktion der FDP",Holzverfügbarkeit sicherstellen  Marktbeschränkungen sofort aufheben ,Besteuerungsverfahren,Antwort,3.0,2021,6,23,3
231,235,29772,"Antrag der Abgeordneten Ulrich Oehme, Detlev Spangenberg, Dr Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Dr. Heiko Wildberg, Jürgen Braun, Peter Felser, Nicole Höchst, Jörn König, Tobias Matthias Peterka, Dr. Dirk Spaniel und der Fraktion der AfD",Arzneimittelsicherheit stärken  Risiko-Entlastung von Patienten und Ärzten bei Off-Label-Nutzung ,Gesundheit,Antrag,3.0,2021,6,23,3
193,235,29271,"Antrag der Abgeordneten Dr. André Hahn, Dr. Gregor Gysi, Gökay Akbulut, Ulla Jelpke, Niema Movassat, Petra Pau, Martina Renner, Kersten Steinke, Friedrich Straetmanns und der Fraktion DIE LINKE",Konsularische Hilfen diskriminierungsfrei gewähren ,Auswärtiges,Antrag,2.0,2021,6,23,1
249,235,29783,"Antrag der Abgeordneten Joana Cotar, Uwe Schulz, Dr. Michael Espendiller, Peter Felser, Jörn König, Ulrich Oehme, Dr. Dirk Spaniel und der Fraktion der AfD",Anreizprogramme für IT-Sicherheit bei der Bundeswehr ausbauen ,Bundeswehr,Antrag,3.0,2021,6,23,3
250,235,29784,"Antrag der Abgeordneten Detlev Spangenberg, Dr. Robby Schlund, Paul Viktor Podolay, Jörg Schneider, Uwe Witt, Marc Bernhard, Marcus Bühl, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",Realistische Corona-Strategie umsetzen  Nachhaltigen Schutz ermöglichen ,Auswärtiges | Bildung,Antwort,2.0,2021,6,23,2
187,235,28400,Gesetzentwurf des Bundesrates,Entwurf eines Gesetzes zur Änderung des Rennwett- und Lotteriegesetzes  und der Ausführungsbestimmungen zum Rennwett- und Lotteriegesetz ,Finanzen,Gesetzentwurf,2.0,2021,6,23,1
173,235,26849,"Antrag der Abgeordneten Dr. Andrew Ullmann, Dr. Christoph Hoffmann, Jens Beeck, Michael Theurer, Grigorios Aggelidis, Renata Alt, Christine Aschenberg-Dugnus, Nicole Bauer, Dr. Jens Brandenburg (Rhein-Neckar), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Carl-Julius Cronenberg, Britta Katharina Dassler, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Torsten Herbst, Dr. Gero Hocker, Reinhard Houben, Olaf in der Beek, Pascal Kober, Carina Konrad, Konstantin Kuhle, Ulrich Lechte, Michael Georg Link, Frank Müller-Rosentritt, Dr. Martin Neumann, Matthias Nölke, Dr. Wieland Schinnenburg, Matthias Seestern-Pauly, Hermann Otto Solms, Dr. Marie-Agnes Strack-Zimmermann, Katja Suding, Linda Teuteberg, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Nicole Westig und der Fraktion der FDP",Wirksame Pandemieprävention durch One Health ,Biodiversität,Antrag,2.0,2021,6,23,1
111,235,19680,Unterrichtung durch die Nationale Stelle zur Verhütung von Folter,Jahresbericht 2019 ,Zollverwaltung,Unterrichtung,1.0,2021,6,23,1
236,235,29774,"Antrag der Abgeordneten Detlev Spangenberg, Dr Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Ulrich Oehme, Dr. Heiko Wildberg, Jürgen Braun, Siegbert Droese, Dietmar Friedhoff, Udo Theodor Hemmelgarn, Jörn König, Christoph Neumann, Nicole Höchst und der Fraktion der AfD",Gesundheit ist keine Ware  Privatisierung der Krankenhauslandschaft begrenzen ,Gesundheit,Antrag,2.0,2021,6,23,2
267,235,30950,Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt,Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt ,Afghanistan,Antwort,1.0,2021,6,23,1
